city;pop_total
20001 Abaltzisketa;320
20002 Aduna;469
20016 Aia;2081
20003 Aizarnazabal;777
20004 Albiztur;309
20005 Alegia;1726
20006 Alkiza;374
20906 Altzaga;179
20007 Altzo;427
20008 Amezketa;939
20009 Andoain;14618
20010 Anoeta;2034
20011 Antzuola;2136
20012 Arama;205
20013 Aretxabaleta;6987
20055 Arrasate/Mondragón;22019
20014 Asteasu;1533
20903 Astigarraga;6272
20015 Ataun;1669
20017 Azkoitia;11609
20018 Azpeitia;14786
20904 Baliarrain;137
20019 Beasain;13881
20020 Beizama;151
20021 Belauntza;239
20022 Berastegi;1081
20074 Bergara;14596
20023 Berrobi;602
20024 Bidania-Goiatz;508
20029 Deba;5457
20069 Donostia/San Sebastián;186665
20030 Eibar;27406
20031 Elduain;239
20033 Elgeta;1135
20032 Elgoibar;11582
20067 Errenteria;39355
20066 Errezil;589
20034 Eskoriatza;4087
20035 Ezkio-Itsaso;575
20038 Gabiria;488
20037 Gaintza;129
20907 Gaztelu;153
20039 Getaria;2818
20040 Hernani;20222
20041 Hernialde;313
20036 Hondarribia;17018
20042 Ibarra;4172
20043 Idiazabal;2305
20044 Ikaztegieta;488
20045 Irun;61983
20046 Irura;1862
20047 Itsasondo;641
20048 Larraul;253
20902 Lasarte-Oria;18253
20049 Lazkao;5646
20050 Leaburu;377
20051 Legazpi;8384
20052 Legorreta;1430
20068 Leintz-Gatzaga;232
20053 Lezo;6045
20054 Lizartza;602
20901 Mendaro;2010
20057 Mutiloa;252
20056 Mutriku;5354
20063 Oiartzun;10276
20058 Olaberria;945
20059 Oñati;11335
20076 Ordizia;10150
20905 Orendain;218
20060 Orexa;123
20061 Orio;5948
20062 Ormaiztegi;1302
20064 Pasaia;16128
20070 Segura;1432
20065 Soraluze-Placencia de las Armas;3894
20071 Tolosa;19525
20072 Urnieta;6170
20077 Urretxu;6730
20073 Usurbil;6165
20075 Villabona;5881
20078 Zaldibia;1613
20079 Zarautz;23223
20025 Zegama;1519
20026 Zerain;252
20027 Zestoa;3725
20028 Zizurkil;2976
20081 Zumaia;10044
20080 Zumarraga;9834
48001 Abadiño;7533
48002 Abanto y Ciérvana-Abanto Zierbena;9545
48911 Ajangiz;482
48912 Alonsotegi;2903
48003 Amorebieta-Etxano;19140
48004 Amoroto;419
48005 Arakaldo;156
48006 Arantzazu;393
48093 Areatza;1212
48009 Arrankudiaga;970
48914 Arratzu;418
48010 Arrieta;567
48011 Arrigorriaga;12230
48023 Artea;735
48008 Artzentales;734
48091 Atxondo;1377
48070 Aulesti;648
48012 Bakio;2645
48090 Balmaseda;7684
48013 Barakaldo;100435
48014 Barrika;1541
48015 Basauri;40762
48092 Bedia;1041
48016 Berango;7130
48017 Bermeo;16688
48018 Berriatua;1247
48019 Berriz;4678
48020 Bilbao;345821
48021 Busturia;1637
48901 Derio;6545
48026 Dima;1447
48027 Durango;29636
48028 Ea;831
48031 Elantxobe;346
48032 Elorrio;7336
48902 Erandio;24222
48033 Ereño;239
48034 Ermua;15890
48079 Errigoiti;487
48029 Etxebarri;11304
48030 Etxebarria;772
48906 Forua;929
48035 Fruiz;545
48036 Galdakao;29288
48037 Galdames;829
48038 Gamiz-Fika;1375
48039 Garai;320
48040 Gatika;1673
48041 Gautegiz Arteaga;840
48046 Gernika-Lumo;16972
48044 Getxo;78276
48047 Gizaburuaga;212
48042 Gordexola;1686
48043 Gorliz;5683
48045 Güeñes;6681
48048 Ibarrangelu;636
48094 Igorre;4257
48049 Ispaster;725
48910 Iurreta;3643
48050 Izurtza;255
48022 Karrantza Harana/Valle de Carranza;2715
48907 Kortezubi;444
48051 Lanestosa;254
48052 Larrabetzu;2029
48053 Laukiz;1191
48054 Leioa;31495
48057 Lekeitio;7258
48055 Lemoa;3521
48056 Lemoiz;1241
48081 Lezama;2429
48903 Loiu;2416
48058 Mallabia;1158
48059 Mañaria;519
48060 Markina-Xemein;4934
48061 Maruri-Jatabe;982
48062 Mendata;381
48063 Mendexa;432
48064 Meñaka;755
48066 Morga;423
48068 Mundaka;1835
48069 Mungia;17554
48007 Munitibar-Arbatzegi Gerrikaitz;460
48908 Murueta;309
48071 Muskiz;7567
48067 Muxika;1455
48909 Nabarniz;255
48073 Ondarroa;8397
48075 Orozko;2651
48083 Ortuella;8360
48072 Otxandio;1296
48077 Plentzia;4363
48078 Portugalete;45826
48082 Santurtzi;45795
48084 Sestao;27445
48904 Sondika;4495
48085 Sopela;13643
48086 Sopuerta;2569
48076 Sukarrieta;357
48087 Trucios-Turtzioz;511
48088 Ubide;177
48065 Ugao-Miraballes;4124
48089 Urduliz;4319
48074 Urduña/Orduña;4180
48080 Valle de Trápaga-Trapagaran;11953
48095 Zaldibar;3054
48096 Zalla;8379
48905 Zamudio;3236
48097 Zaratamo;1615
48024 Zeanuri;1242
48025 Zeberio;1059
48913 Zierbena;1492
48915 Ziortza-Bolibar;427
