city;pop_age;percent
Abadiño;0 - 19;20
Abadiño;20 - 64;60
Abadiño;>= 65;19
Abaltzisketa;0 - 19;23
Abaltzisketa;20 - 64;60
Abaltzisketa;>= 65;17
Abanto y Ciérvana-Abanto Zierbena;0 - 19;18
Abanto y Ciérvana-Abanto Zierbena;20 - 64;64
Abanto y Ciérvana-Abanto Zierbena;>= 65;18
Aduna;0 - 19;28
Aduna;20 - 64;58
Aduna;>= 65;14
Agurain/Salvatierra;0 - 19;23
Agurain/Salvatierra;20 - 64;61
Agurain/Salvatierra;>= 65;16
Aia;0 - 19;24
Aia;20 - 64;59
Aia;>= 65;17
Aizarnazabal;0 - 19;27
Aizarnazabal;20 - 64;59
Aizarnazabal;>= 65;14
Ajangiz;0 - 19;20
Ajangiz;20 - 64;60
Ajangiz;>= 65;20
Albiztur;0 - 19;26
Albiztur;20 - 64;54
Albiztur;>= 65;20
Alegia;0 - 19;22
Alegia;20 - 64;57
Alegia;>= 65;21
Alegría-Dulantzi;0 - 19;27
Alegría-Dulantzi;20 - 64;62
Alegría-Dulantzi;>= 65;11
Alkiza;0 - 19;30
Alkiza;20 - 64;55
Alkiza;>= 65;15
Alonsotegi;0 - 19;18
Alonsotegi;20 - 64;61
Alonsotegi;>= 65;22
Altzaga;0 - 19;30
Altzaga;20 - 64;52
Altzaga;>= 65;18
Altzo;0 - 19;24
Altzo;20 - 64;62
Altzo;>= 65;14
Amezketa;0 - 19;22
Amezketa;20 - 64;57
Amezketa;>= 65;21
Amorebieta-Etxano;0 - 19;20
Amorebieta-Etxano;20 - 64;60
Amorebieta-Etxano;>= 65;20
Amoroto;0 - 19;20
Amoroto;20 - 64;59
Amoroto;>= 65;21
Amurrio;0 - 19;19
Amurrio;20 - 64;60
Amurrio;>= 65;21
Andoain;0 - 19;20
Andoain;20 - 64;58
Andoain;>= 65;22
Anoeta;0 - 19;22
Anoeta;20 - 64;61
Anoeta;>= 65;17
Antzuola;0 - 19;22
Antzuola;20 - 64;58
Antzuola;>= 65;20
Añana;0 - 19;8
Añana;20 - 64;64
Añana;>= 65;28
Arakaldo;0 - 19;26
Arakaldo;20 - 64;62
Arakaldo;>= 65;12
Arama;0 - 19;22
Arama;20 - 64;58
Arama;>= 65;19
Aramaio;0 - 19;21
Aramaio;20 - 64;57
Aramaio;>= 65;21
Arantzazu;0 - 19;21
Arantzazu;20 - 64;61
Arantzazu;>= 65;18
Areatza;0 - 19;20
Areatza;20 - 64;62
Areatza;>= 65;18
Aretxabaleta;0 - 19;21
Aretxabaleta;20 - 64;58
Aretxabaleta;>= 65;21
Armiñón;0 - 19;22
Armiñón;20 - 64;63
Armiñón;>= 65;15
Artea;0 - 19;20
Artea;20 - 64;58
Artea;>= 65;23
Arraia-Maeztu;0 - 19;17
Arraia-Maeztu;20 - 64;58
Arraia-Maeztu;>= 65;25
Arrankudiaga;0 - 19;21
Arrankudiaga;20 - 64;61
Arrankudiaga;>= 65;17
Arrasate/Mondragón;0 - 19;17
Arrasate/Mondragón;20 - 64;58
Arrasate/Mondragón;>= 65;24
Arratzu;0 - 19;21
Arratzu;20 - 64;57
Arratzu;>= 65;22
Arrazua-Ubarrundia;0 - 19;20
Arrazua-Ubarrundia;20 - 64;61
Arrazua-Ubarrundia;>= 65;19
Arrieta;0 - 19;17
Arrieta;20 - 64;64
Arrieta;>= 65;19
Arrigorriaga;0 - 19;20
Arrigorriaga;20 - 64;63
Arrigorriaga;>= 65;17
Artzentales;0 - 19;15
Artzentales;20 - 64;62
Artzentales;>= 65;23
Artziniega;0 - 19;23
Artziniega;20 - 64;60
Artziniega;>= 65;17
Asparrena;0 - 19;19
Asparrena;20 - 64;61
Asparrena;>= 65;20
Asteasu;0 - 19;25
Asteasu;20 - 64;59
Asteasu;>= 65;16
Astigarraga;0 - 19;24
Astigarraga;20 - 64;64
Astigarraga;>= 65;12
Ataun;0 - 19;24
Ataun;20 - 64;53
Ataun;>= 65;23
Atxondo;0 - 19;18
Atxondo;20 - 64;61
Atxondo;>= 65;21
Aulesti;0 - 19;18
Aulesti;20 - 64;55
Aulesti;>= 65;27
Ayala/Aiara;0 - 19;23
Ayala/Aiara;20 - 64;60
Ayala/Aiara;>= 65;16
Azkoitia;0 - 19;23
Azkoitia;20 - 64;58
Azkoitia;>= 65;19
Azpeitia;0 - 19;22
Azpeitia;20 - 64;58
Azpeitia;>= 65;21
Bakio;0 - 19;20
Bakio;20 - 64;62
Bakio;>= 65;18
Baliarrain;0 - 19;31
Baliarrain;20 - 64;56
Baliarrain;>= 65;13
Balmaseda;0 - 19;18
Balmaseda;20 - 64;59
Balmaseda;>= 65;23
Baños de Ebro/Mañueta;0 - 19;14
Baños de Ebro/Mañueta;20 - 64;58
Baños de Ebro/Mañueta;>= 65;29
Barakaldo;0 - 19;17
Barakaldo;20 - 64;60
Barakaldo;>= 65;23
Barrika;0 - 19;20
Barrika;20 - 64;59
Barrika;>= 65;21
Barrundia;0 - 19;20
Barrundia;20 - 64;61
Barrundia;>= 65;18
Basauri;0 - 19;16
Basauri;20 - 64;58
Basauri;>= 65;27
Beasain;0 - 19;21
Beasain;20 - 64;59
Beasain;>= 65;20
Bedia;0 - 19;17
Bedia;20 - 64;62
Bedia;>= 65;22
Beizama;0 - 19;19
Beizama;20 - 64;61
Beizama;>= 65;20
Belauntza;0 - 19;18
Belauntza;20 - 64;57
Belauntza;>= 65;24
Berango;0 - 19;24
Berango;20 - 64;59
Berango;>= 65;16
Berantevilla;0 - 19;18
Berantevilla;20 - 64;54
Berantevilla;>= 65;28
Berastegi;0 - 19;22
Berastegi;20 - 64;60
Berastegi;>= 65;18
Bergara;0 - 19;18
Bergara;20 - 64;58
Bergara;>= 65;24
Bermeo;0 - 19;18
Bermeo;20 - 64;59
Bermeo;>= 65;23
Bernedo;0 - 19;14
Bernedo;20 - 64;57
Bernedo;>= 65;29
Berriatua;0 - 19;19
Berriatua;20 - 64;59
Berriatua;>= 65;22
Berriz;0 - 19;21
Berriz;20 - 64;59
Berriz;>= 65;20
Berrobi;0 - 19;22
Berrobi;20 - 64;61
Berrobi;>= 65;17
Bidania-Goiatz;0 - 19;24
Bidania-Goiatz;20 - 64;60
Bidania-Goiatz;>= 65;16
Bilbao;0 - 19;16
Bilbao;20 - 64;60
Bilbao;>= 65;24
Busturia;0 - 19;18
Busturia;20 - 64;56
Busturia;>= 65;26
Campezo/Kanpezu;0 - 19;17
Campezo/Kanpezu;20 - 64;58
Campezo/Kanpezu;>= 65;25
Deba;0 - 19;19
Deba;20 - 64;59
Deba;>= 65;22
Derio;0 - 19;21
Derio;20 - 64;61
Derio;>= 65;18
Dima;0 - 19;21
Dima;20 - 64;60
Dima;>= 65;19
