city;pop_foreign
Abadiño;6.0
Abaltzisketa;3.2
Abanto y Ciérvana-Abanto Zierbena;3.4
Aduna;1.3
Agurain/Salvatierra;12.9
Aia;5.8
Aizarnazabal;8.0
Ajangiz;3.3
Albiztur;2.0
Alegia;10.6
Alegría-Dulantzi;10.9
Alkiza;2.8
Alonsotegi;6.0
Altzaga;3.3
Altzo;3.4
Amezketa;6.4
Amorebieta-Etxano;9.7
Amoroto;6.7
Amurrio;7.9
Andoain;6.7
Anoeta;8.2
Antzuola;4.5
Añana;9.4
Arakaldo;9.2
Arama;8.6
Aramaio;3.5
Arantzazu;6.0
Areatza;11.9
Aretxabaleta;6.1
Armiñón;5.6
Artea;5.0
Arraia-Maeztu;6.2
Arrankudiaga;3.9
Arrasate/Mondragón;9.7
Arratzu;5.3
Arrazua-Ubarrundia;5.1
Arrieta;3.8
Arrigorriaga;5.8
Artzentales;4.5
Artziniega;6.4
Asparrena;8.1
Asteasu;5.7
Astigarraga;7.0
Ataun;5.5
Atxondo;6.3
Aulesti;5.0
Ayala/Aiara;3.3
Azkoitia;9.6
Azpeitia;8.0
Bakio;6.3
Baliarrain;6.7
Balmaseda;9.4
Baños de Ebro/Mañueta;16.0
Barakaldo;9.0
Barrika;5.2
Barrundia;5.4
Basauri;7.2
Beasain;12.5
Bedia;6.0
Beizama;5.5
Belauntza;7.0
Berango;6.3
Berantevilla;8.3
Berastegi;3.3
Bergara;7.9
Bermeo;9.4
Bernedo;6.8
Berriatua;17.7
Berriz;8.2
Berrobi;8.3
Bidania-Goiatz;6.8
Bilbao;11.3
Busturia;4.6
Campezo/Kanpezu;8.0
Deba;7.8
Derio;5.5
Dima;3.4
Donostia / San Sebastián;10.6
Durango;10.1
Ea;8.3
Eibar;10.6
Elantxobe;4.2
Elburgo/Burgelu;5.2
Elciego;7.7
Elduain;3.3
Elgeta;7.3
Elgoibar;10.2
Elorrio;6.9
Elvillar/Bilar;10.9
Erandio;9.8
Ereño;5.5
Ermua;7.4
Errenteria;8.8
Errezil;5.7
Erriberagoitia/Ribera Alta;6.5
Errigoiti;4.9
Eskoriatza;6.3
Etxebarri;4.6
Etxebarria;10.5
Ezkio-Itsaso;6.4
Forua;6.5
Fruiz;6.4
Gabiria;4.4
Gaintza;4.2
Galdakao;4.9
Galdames;4.1
Gamiz-Fika;4.5
Garai;2.8
Gatika;4.9
Gautegiz Arteaga;8.2
Gaztelu;4.2
Gernika-Lumo;11.9
Getaria;11.0
Getxo;9.7
Gizaburuaga;8.9
Gordexola;6.4
Gorliz;6.8
Güeñes;7.1
Harana/Valle de Arana;1.6
Hernani;9.4
Hernialde;6.7
Hondarribia;9.1
Ibarra;8.9
Ibarrangelu;3.8
Idiazabal;6.4
Igorre;10.9
Ikaztegieta;12.5
Irun;13.0
Iruña Oka/Iruña de Oca;9.9
Irura;10.9
Iruraiz-Gauna;4.3
Ispaster;7.4
Itsasondo;10.0
Iurreta;9.7
Izurtza;18.8
Karrantza Harana/Valle de Carranza;4.6
Kortezubi;7.5
Kripan;2.7
Kuartango;5.7
Labastida/Bastida;11.5
Lagrán;1.8
Laguardia;11.2
Lanciego/Lantziego;13.5
Lanestosa;7.0
Lantarón;6.6
Lapuebla de Labarca;11.1
Larrabetzu;4.1
Larraul;4.4
Lasarte-Oria;10.0
Laudio/Llodio;6.7
Laukiz;6.5
Lazkao;9.5
Leaburu;12.3
Legazpi;4.7
Legorreta;9.1
Legutio;11.3
Leintz-Gatzaga;7.3
Leioa;8.2
Lekeitio;9.5
Lemoa;8.7
Lemoiz;5.3
Leza;10.4
Lezama;6.2
Lezo;5.6
Lizartza;10.3
Loiu;10.7
Mallabia;4.6
Mañaria;6.0
Markina-Xemein;13.4
Maruri-Jatabe;4.3
Mendaro;9.4
Mendata;6.9
Mendexa;6.3
Meñaka;3.7
Moreda de Álava/Moreda Araba;5.3
Morga;6.2
Mundaka;6.0
Mungia;10.9
Munitibar-Arbatzegi Gerrikaitz;5.8
Murueta;5.3
Muskiz;4.9
Mutiloa;1.6
Mutriku;8.6
Muxika;6.4
Nabarniz;5.7
Navaridas;17.7
Oiartzun;5.7
Okondo;6.1
Olaberria;8.2
Ondarroa;9.8
Oñati;7.0
Ordizia;15.9
Orendain;5.9
Orexa;1.8
Orio;9.8
Ormaiztegi;10.8
Orozko;6.2
Ortuella;4.1
Otxandio;9.6
Oyón-Oion;13.3
Pasaia;12.0
Peñacerrada-Urizaharra;3.9
Plentzia;9.3
Portugalete;6.2
Ribera Baja/Erribera Beitia;13.0
Samaniego;9.3
San Millán/Donemiliaga;4.1
Santurtzi;5.8
Segura;9.6
Sestao;8.7
Sondika;7.5
Sopelana;6.4
Sopuerta;4.7
Soraluze/Placencia de las Armas;11.0
Sukarrieta;7.0
Tolosa;8.7
Trucios-Turtzioz;4.2
Ubide;13.2
Ugao-Miraballes;5.8
Urduliz;5.8
Urduña/Orduña;8.2
Urkabustaiz;9.2
Urnieta;7.1
Urretxu;7.4
Usurbil;6.1
Valdegovía/Gaubea;10.2
Valle de Trápaga-Trapagaran;3.8
Villabona;10.5
Villabuena de Álava/Eskuernaga;13.1
Vitoria-Gasteiz;12.7
Yécora/Iekora;12.4
Zaldibar;8.1
Zaldibia;12.5
Zalduondo;4.6
Zalla;9.0
Zambrana;11.3
Zamudio;10.0
Zaratamo;5.0
Zarautz;8.1
Zeanuri;5.0
Zeberio;3.7
Zegama;9.5
Zerain;4.3
Zestoa;8.6
Zierbena;4.4
Zigoitia;4.5
Ziortza-Bolibar;2.8
Zizurkil;8.2
Zuia;6.0
Zumaia;7.1
Zumarraga;7.8
