city;rent_type;rent
Abadiño;Renta total;20907
Abadiño;Renta del trabajo;13824
Abadiño;Renta capital mobiliario;967
Abadiño;Renta capital inmobiliario;262
Abadiño;Renta de actividades;695
Abadiño;Transferencias;5158
Abadiño;Renta disponible;17620
Abaltzisketa;Renta total;20659
Abaltzisketa;Renta del trabajo;12495
Abaltzisketa;Renta capital mobiliario;833
Abaltzisketa;Renta capital inmobiliario;338
Abaltzisketa;Renta de actividades;1614
Abaltzisketa;Transferencias;5379
Abaltzisketa;Renta disponible;17690
Abanto y Ciérvana-Abanto Zierbena;Renta total;17514
Abanto y Ciérvana-Abanto Zierbena;Renta del trabajo;11485
Abanto y Ciérvana-Abanto Zierbena;Renta capital mobiliario;418
Abanto y Ciérvana-Abanto Zierbena;Renta capital inmobiliario;150
Abanto y Ciérvana-Abanto Zierbena;Renta de actividades;661
Abanto y Ciérvana-Abanto Zierbena;Transferencias;4798
Abanto y Ciérvana-Abanto Zierbena;Renta disponible;14941
Aduna;Renta total;22779
Aduna;Renta del trabajo;15775
Aduna;Renta capital mobiliario;724
Aduna;Renta capital inmobiliario;610
Aduna;Renta de actividades;1506
Aduna;Transferencias;4165
Aduna;Renta disponible;19276
Agurain/Salvatierra;Renta total;17689
Agurain/Salvatierra;Renta del trabajo;11576
Agurain/Salvatierra;Renta capital mobiliario;477
Agurain/Salvatierra;Renta capital inmobiliario;257
Agurain/Salvatierra;Renta de actividades;747
Agurain/Salvatierra;Transferencias;4631
Agurain/Salvatierra;Renta disponible;15216
Aia;Renta total;20073
Aia;Renta del trabajo;12640
Aia;Renta capital mobiliario;711
Aia;Renta capital inmobiliario;371
Aia;Renta de actividades;1678
Aia;Transferencias;4673
Aia;Renta disponible;17117
Aizarnazabal;Renta total;20758
Aizarnazabal;Renta del trabajo;13186
Aizarnazabal;Renta capital mobiliario;845
Aizarnazabal;Renta capital inmobiliario;419
Aizarnazabal;Renta de actividades;949
Aizarnazabal;Transferencias;5359
Aizarnazabal;Renta disponible;17638
Ajangiz;Renta total;23604
Ajangiz;Renta del trabajo;14707
Ajangiz;Renta capital mobiliario;2009
Ajangiz;Renta capital inmobiliario;810
Ajangiz;Renta de actividades;1141
Ajangiz;Transferencias;4937
Ajangiz;Renta disponible;19511
Albiztur;Renta total;23183
Albiztur;Renta del trabajo;14315
Albiztur;Renta capital mobiliario;1636
Albiztur;Renta capital inmobiliario;427
Albiztur;Renta de actividades;1420
Albiztur;Transferencias;5386
Albiztur;Renta disponible;19703
Alegia;Renta total;18778
Alegia;Renta del trabajo;11399
Alegia;Renta capital mobiliario;707
Alegia;Renta capital inmobiliario;235
Alegia;Renta de actividades;809
Alegia;Transferencias;5628
Alegia;Renta disponible;16231
Alegría-Dulantzi;Renta total;20843
Alegría-Dulantzi;Renta del trabajo;15580
Alegría-Dulantzi;Renta capital mobiliario;514
Alegría-Dulantzi;Renta capital inmobiliario;302
Alegría-Dulantzi;Renta de actividades;998
Alegría-Dulantzi;Transferencias;3449
Alegría-Dulantzi;Renta disponible;17484
Alkiza;Renta total;21675
Alkiza;Renta del trabajo;14753
Alkiza;Renta capital mobiliario;346
Alkiza;Renta capital inmobiliario;456
Alkiza;Renta de actividades;1612
Alkiza;Transferencias;4509
Alkiza;Renta disponible;18436
Alonsotegi;Renta total;16746
Alonsotegi;Renta del trabajo;10079
Alonsotegi;Renta capital mobiliario;398
Alonsotegi;Renta capital inmobiliario;198
Alonsotegi;Renta de actividades;953
Alonsotegi;Transferencias;5118
Alonsotegi;Renta disponible;14419
Altzaga;Renta total;22029
Altzaga;Renta del trabajo;12577
Altzaga;Renta capital mobiliario;898
Altzaga;Renta capital inmobiliario;276
Altzaga;Renta de actividades;2225
Altzaga;Transferencias;6052
Altzaga;Renta disponible;18786
Altzo;Renta total;21572
Altzo;Renta del trabajo;14528
Altzo;Renta capital mobiliario;816
Altzo;Renta capital inmobiliario;370
Altzo;Renta de actividades;978
Altzo;Transferencias;4881
Altzo;Renta disponible;18299
Amezketa;Renta total;21411
Amezketa;Renta del trabajo;12425
Amezketa;Renta capital mobiliario;1308
Amezketa;Renta capital inmobiliario;262
Amezketa;Renta de actividades;1112
Amezketa;Transferencias;6305
Amezketa;Renta disponible;18121
Amorebieta-Etxano;Renta total;20108
Amorebieta-Etxano;Renta del trabajo;13319
Amorebieta-Etxano;Renta capital mobiliario;701
Amorebieta-Etxano;Renta capital inmobiliario;298
Amorebieta-Etxano;Renta de actividades;857
Amorebieta-Etxano;Transferencias;4932
Amorebieta-Etxano;Renta disponible;16885
Amoroto;Renta total;19570
Amoroto;Renta del trabajo;13129
Amoroto;Renta capital mobiliario;1276
Amoroto;Renta capital inmobiliario;262
Amoroto;Renta de actividades;627
Amoroto;Transferencias;4275
Amoroto;Renta disponible;16438
Amurrio;Renta total;18951
Amurrio;Renta del trabajo;11360
Amurrio;Renta capital mobiliario;708
Amurrio;Renta capital inmobiliario;333
Amurrio;Renta de actividades;895
Amurrio;Transferencias;5655
Amurrio;Renta disponible;16036
Andoain;Renta total;19471
Andoain;Renta del trabajo;11542
Andoain;Renta capital mobiliario;818
Andoain;Renta capital inmobiliario;302
Andoain;Renta de actividades;721
Andoain;Transferencias;6088
Andoain;Renta disponible;16703
Anoeta;Renta total;19677
Anoeta;Renta del trabajo;12470
Anoeta;Renta capital mobiliario;621
Anoeta;Renta capital inmobiliario;438
Anoeta;Renta de actividades;1055
Anoeta;Transferencias;5093
Anoeta;Renta disponible;16814
Antzuola;Renta total;25640
Antzuola;Renta del trabajo;15941
Antzuola;Renta capital mobiliario;2091
Antzuola;Renta capital inmobiliario;245
Antzuola;Renta de actividades;761
Antzuola;Transferencias;6601
Antzuola;Renta disponible;21607
Añana;Renta total;18693
Añana;Renta del trabajo;9917
Añana;Renta capital mobiliario;946
Añana;Renta capital inmobiliario;269
Añana;Renta de actividades;2797
Añana;Transferencias;4765
Añana;Renta disponible;16046
Arakaldo;Renta total;23201
Arakaldo;Renta del trabajo;16425
Arakaldo;Renta capital mobiliario;640
Arakaldo;Renta capital inmobiliario;483
Arakaldo;Renta de actividades;2803
Arakaldo;Transferencias;2850
Arakaldo;Renta disponible;18985
Arama;Renta total;29356
Arama;Renta del trabajo;18524
Arama;Renta capital mobiliario;2021
Arama;Renta capital inmobiliario;927
Arama;Renta de actividades;2173
Arama;Transferencias;5710
Arama;Renta disponible;23433
Aramaio;Renta total;23924
Aramaio;Renta del trabajo;15130
Aramaio;Renta capital mobiliario;3246
Aramaio;Renta capital inmobiliario;192
Aramaio;Renta de actividades;753
Aramaio;Transferencias;4603
Aramaio;Renta disponible;20063
Arantzazu;Renta total;22492
Arantzazu;Renta del trabajo;14203
Arantzazu;Renta capital mobiliario;867
Arantzazu;Renta capital inmobiliario;478
Arantzazu;Renta de actividades;919
Arantzazu;Transferencias;6024
Arantzazu;Renta disponible;19003
Areatza;Renta total;18856
Areatza;Renta del trabajo;11753
Areatza;Renta capital mobiliario;754
